county,fips,latitude,state,longitude,number_of_deaths,total_population,area_per_square_mile,population_density_per_square_mile,minority_percentage,limited_english,multi_unit_housing,mobile_homes,overcrowding_rank,no_vehicle_household,institutionalized_ranker,housing_and_transportation,social_vulnerability,"Less than a high school diploma, 2015-19","High school diploma only, 2015-19","Some college or associate's degree, 2015-19","Bachelor's degree or higher, 2015-19"
Covington,1039,31.24849866,Alabama,-86.45127715,780,-0.195780621,-0.025938934,-0.128674847,0.070991464,-0.229166727,-1.182789956,0.865848654,-0.415755352,-0.330428346,-0.337196082,-0.761149546,0.675287178,-0.101703956,-0.127601741,-0.13108946,-0.143955825
Crenshaw,1041,31.73153754,Alabama,-86.31357901,290,-0.269079102,-0.14266691,-0.136346439,0.663164164,0.374739635,-1.561359686,1.456768648,-1.407413369,0.467083267,-1.083869516,-1.029187066,0.69745037,-0.121372848,-0.15597472,-0.156156875,-0.152415349
Cullman,1043,34.13195,Alabama,-86.86758257,1501,-0.061728639,-0.107766716,-0.087488152,-0.766707812,0.283551495,-0.173616401,1.090467365,-0.155466756,-1.002670935,-0.584933885,-0.508695603,-0.031510864,-0.04912524,-0.080941954,-0.083632915,-0.129509727
Dale,1045,31.43181495,Alabama,-85.61100904,859,-0.159249788,-0.155876806,-0.099862299,0.686366252,0.146597232,-0.881317075,0.75595827,-0.599895689,0.295916776,0.317094679,-0.148195527,0.852939013,-0.09931858,-0.122864226,-0.114935651,-0.136493458
Dallas,1047,32.32597601,Alabama,-87.10647208,918,-0.184410484,-0.04026959,-0.125496129,1.635574071,-1.343038463,-0.977083116,1.016515974,1.404880308,1.664903609,-0.53753154,1.243244725,1.588133644,-0.098431387,-0.129534648,-0.130841393,-0.144557745
DeKalb,1049,34.45980613,Alabama,-85.80411386,1302,-0.093649293,-0.09608434,-0.098260781,0.201200198,1.315525957,-1.189358746,1.273963574,0.905416951,-0.844618006,-0.804299482,-0.421773875,0.869215107,-0.037206729,-0.096277291,-0.109553851,-0.135884285
Elmore,1051,32.59665284,Alabama,-86.14916394,1229,-0.062832745,-0.139995723,-0.07622531,0.539535127,0.128015497,-0.061255522,0.684425849,-0.989982455,-0.798375446,1.174142917,-0.068892437,0.143716872,-0.075448077,-0.087745026,-0.096700598,-0.107550499
Escambia,1053,31.12614174,Alabama,-87.1615837,822,-0.195331598,-0.049575928,-0.126748861,1.044786571,-1.161350395,-0.938361829,0.78982386,0.406299722,-0.202053478,1.268947607,0.654531826,1.259495064,-0.097418648,-0.120547581,-0.138111027,-0.146842143
Etowah,1055,34.04526554,Alabama,-86.03476326,2201,0.006076992,-0.163031388,-0.041620448,0.324829235,0.680305931,0.140302608,0.095579259,-0.328530982,0.295916776,-0.693924678,-0.331389129,0.808612629,-0.045116134,-0.061991893,-0.062542986,-0.112064904
Fayette,1057,33.72123026,Alabama,-87.73886639,342,-0.260200123,-0.137449819,-0.134168902,-0.069952565,-1.716737784,-0.643457737,1.072843436,-0.649392058,1.39676578,-0.019911773,0.565185986,0.767749244,-0.121197084,-0.151232467,-0.150985302,-0.153271092
Franklin,1059,34.44169874,Alabama,-87.84373986,531,-0.214713422,-0.135751794,-0.121331448,0.337988629,1.468997318,0.226042602,0.664382949,1.349499756,-0.330428346,-1.267942856,0.254207054,1.452730394,-0.098582042,-0.13810955,-0.141937151,-0.147991594
Geneva,1061,31.0950592,Alabama,-85.83909125,569,-0.229500444,-0.152199535,-0.123121821,0.027011386,0.263937442,-1.525058479,1.493053209,-0.200809583,0.295916776,-1.229536576,-0.661068353,1.098811923,-0.107512557,-0.142311726,-0.14023852,-0.150080187
Greene,1063,32.85315674,Alabama,-87.9522131,184,-0.285406951,-0.132072927,-0.141661348,1.684056047,-1.716737784,0.950338113,1.703158095,1.074327636,1.680087733,-1.473814354,1.592663145,1.690638407,-0.128169078,-0.163521582,-0.157800847,-0.156407607
Hale,1065,32.76266973,Alabama,-87.62915115,312,-0.265194741,-0.132948309,-0.135947472,1.49982454,-0.408790158,0.286544613,1.653741979,0.932068842,1.62521783,-0.390134467,1.618982075,1.659817718,-0.124963467,-0.153733876,-0.154210177,-0.153416133
Henry,1067,31.51471008,Alabama,-85.24141827,332,-0.258957619,-0.155704015,-0.132022962,0.743505723,-0.056081314,-1.148563103,1.32337969,-1.302882576,0.467083267,-0.409856611,-0.61570283,0.332450303,-0.117246566,-0.155354106,-0.149997237,-0.151004824
Houston,1069,31.15320567,Alabama,-85.30247675,1637,0.007700858,-0.15068844,-0.049372968,0.782291304,0.024095428,0.532009918,0.472938694,-0.878529094,0.242082154,-1.252372742,-0.527395895,0.629921894,-0.053912733,-0.067250535,-0.064767183,-0.101705341
Jackson,1071,34.77947284,Alabama,-85.99935097,1126,-0.150020201,-0.012812765,-0.121891422,-0.421793186,-0.356141911,-1.136462701,0.983687086,0.15847175,-0.454662089,-0.83163368,-0.715091419,0.272886725,-0.086203195,-0.102218135,-0.121376993,-0.139767762
Jefferson,1073,33.55431974,Alabama,-86.89649571,11214,1.715235916,-0.003559854,0.180899282,1.320094931,0.542319349,1.505227991,-1.273903743,-0.682274261,0.997837426,0.303946584,0.383031289,0.487938946,0.235747278,0.387920455,0.407847361,0.385821442
Lamar,1075,33.77914785,Alabama,-88.09695923,290,-0.268556266,-0.143772546,-0.136106248,-0.137134731,-0.805200489,-1.411660423,0.722783814,-1.161662168,0.086099788,-0.610192069,-1.123034828,0.624727396,-0.123708006,-0.155586244,-0.152553592,-0.154275502
